Element Type,OS,Label,Value,Accessibility Label,SnapshotId,Coordinates,screenshot_url,element_udid,package_name,highlighted_image
android.widget.ImageView,android,,,,316331,"{""x"":46.944,""y"":90.875,""height"":2.833,""width"":6.296}",https://app-accessibility-assets.browserstack.com/ad1af87ed04947465e50d6603f0299eace5ce324/screenshot-2af87976.jpeg,191566-688729a7-7f56-4028-b53f-f2472530a544,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316331_191566-688729a7-7f56-4028-b53f-f2472530a544.jpeg
android.widget.ImageView,android,,,,316331,"{""x"":65.833,""y"":90.875,""height"":2.833,""width"":6.389}",https://app-accessibility-assets.browserstack.com/ad1af87ed04947465e50d6603f0299eace5ce324/screenshot-2af87976.jpeg,198293-7f535557-e8a6-4f71-aa1b-889654838b81,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316331_198293-7f535557-e8a6-4f71-aa1b-889654838b81.jpeg
android.widget.ImageView,android,,,,316331,"{""x"":84.815,""y"":90.875,""height"":2.833,""width"":6.296}",https://app-accessibility-assets.browserstack.com/ad1af87ed04947465e50d6603f0299eace5ce324/screenshot-2af87976.jpeg,205020-711d1a3f-37e5-4d30-8bef-f63c95500b9e,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316331_205020-711d1a3f-37e5-4d30-8bef-f63c95500b9e.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":9.074,""y"":90.875,""height"":2.833,""width"":6.296}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,1708840-9e97da6d-108a-448d-bb04-ef8bd9f3b947,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_1708840-9e97da6d-108a-448d-bb04-ef8bd9f3b947.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":27.963,""y"":90.875,""height"":2.833,""width"":6.389}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,1715567-2aac8cd2-323d-40d1-b61e-68f48cb622f5,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_1715567-2aac8cd2-323d-40d1-b61e-68f48cb622f5.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":46.944,""y"":90.875,""height"":2.833,""width"":6.296}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,1722294-f22e845e-e04f-40b2-ab34-9520127d999e,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_1722294-f22e845e-e04f-40b2-ab34-9520127d999e.jpeg
android.widget.ImageView,android,,,,316649,"{""x"":65.833,""y"":90.875,""height"":2.833,""width"":6.389}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-92b5d953.jpeg,1729021-5bc00dc5-b27b-46a2-addf-def4f5605b06,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316649_1729021-5bc00dc5-b27b-46a2-addf-def4f5605b06.jpeg
android.widget.ImageView,android,,,,316552,"{""x"":32.963,""y"":5.5,""height"":12.125,""width"":34.074}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-ef762a4b.jpeg,515278-a4d96165-23f4-45f7-8d1e-addac5e7d09e,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316552_515278-a4d96165-23f4-45f7-8d1e-addac5e7d09e.jpeg
android.widget.ImageView,android,,,,316552,"{""x"":8.796,""y"":20.708,""height"":1.75,""width"":3.889}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-ef762a4b.jpeg,522005-c68212bc-8f21-4653-b234-1577f0e4976b,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316552_522005-c68212bc-8f21-4653-b234-1577f0e4976b.jpeg
android.widget.ImageView,android,,,,316552,"{""x"":86.389,""y"":20.583,""height"":2.208,""width"":1.204}",https://app-accessibility-assets.browserstack.com/f953914bc226df50b662730087926095c77387d0/screenshot-ef762a4b.jpeg,524888-83887494-0b49-4d1d-9d41-6b1a28bffddf,it.isoladeitesori.isoladeitesori,https://raw.githubusercontent.com/SumanReddy18/aihelper/main/imagesOfText/images-with-text/output/newFullTB/316552_524888-83887494-0b49-4d1d-9d41-6b1a28bffddf.jpeg
